PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:30 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:31 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:35 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:36 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:42 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:07:46 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Error: 0 : 24/09/2017 23:07:56 || L'oggetto nullable deve avere un valore.
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:08:48 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:08:50 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:08:51 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:16:19 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:16:20 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:16:22 || Ricerca utente 'paolo                rossi               '
PalestraTest.vshost.exe Warning: 0 : 24/09/2017 23:16:25 || E' possibile disattivare solo gli utenti con un abbonamento a periodi
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:17:26 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:17:27 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:17:29 || Ricerca utente 'paolo rossi'
PalestraTest.vshost.exe Warning: 0 : 24/09/2017 23:17:36 || E' possibile disattivare solo gli utenti con un abbonamento a periodi
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:17:44 || Eliminazione utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:17:45 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:17:47 || Ricerca utente 'paolo rossi'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:14 || Inserimento utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:16 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:19 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:27 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:28 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:32 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:18:40 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:21:29 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:21:30 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:21:31 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:21:33 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:21:36 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:21:44 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:22 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:24 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:26 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:27 || Disattivazione utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:28 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:30 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:32 || Attivazione utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 24/09/2017 23:24:33 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:36:14 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:36:19 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:36:28 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:36:47 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:36:47 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:36:47 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:46:39 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:12 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:24 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:28 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:35 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:36 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:36 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:37 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:39 || Modifica utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:41 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:42 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:48 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:49 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:54 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:47:59 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:48:07 || Modifica dati abbonamento utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:48:10 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:48:19 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:48:23 || Ricerca utente 'giovanni rana'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:49:29 || Eliminazione utente ID: '87654321'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:49:33 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:49:59 || Inserimento utente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:50:00 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:51:53 || Entrata utente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:52:23 || Entrata utente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:52:26 || Entrata utente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:52:36 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:52:37 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 01:52:37 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:00:07 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:00:12 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:00:40 || Entrata utenteente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:02:59 || Entrata utenteente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:03:06 || Entrata utenteente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:03:23 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:03:24 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:03:28 || Entrata utenteente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:04:36 || Avvio applicazione
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:04:41 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:04:45 || Entrata utenteente 'lezione singola'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:10:56 || Inserimento utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:10:59 || Controllo abbonamenti ... 
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:02 || Ricerca utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:40 || Entrata utenteente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:48 || Ricerca utente 'test test'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:50 || Modifica utente ID: '88888888'
PalestraTest.vshost.exe Information: 0 : 30/09/2017 02:11:51 || Controllo abbonamenti ... 
